Model,Accuracy,Precision,Recall,F1,ROC-AUC,CV ROC-AUC (5-fold)
Gradient Boosting,0.8695,0.7896825396825397,0.48894348894348894,0.6039453717754173,0.8693254116982929,0.8642255203166684
Random Forest,0.8255,0.5553435114503816,0.714987714987715,0.6251342642320086,0.8679449865890545,0.8568861900588456
Decision Tree,0.7565,0.4431818181818182,0.7665847665847666,0.5616561656165616,0.8228860601741957,0.821878340765282
Logistic Regression,0.7125,0.3867924528301887,0.7051597051597052,0.4995648389904265,0.775757267282691,0.7656619891939787
